,0
1371,LSr
1372,LSr
1373,ACA
1374,LSr
1375,LSr
1376,LSr
1377,LSr
1378,ACA
1379,LSr
1380,ACA
1381,ACA
1382,MOs
1383,LSr
1384,LSr
1385,ACA
1386,ACA
1387,LSr
1388,LSr
1389,ACA
1390,ACA
1391,ACA
1392,LSr
1393,MOs
1394,LSr
1395,ACA
1396,LSr
1397,ACA
1398,LSr
1399,LSr
1400,ACA
1401,LSr
1402,ACA
1403,MOs
1404,LSr
1405,LSr
1406,MOs
1407,ACA
1408,MOs
1409,LSr
1410,ACA
1411,ACA
1412,LSr
1413,LSr
1414,ACA
1415,LSr
1416,LSr
1417,LSr
1418,LSr
1419,ACA
1420,LSr
1421,ACA
1422,ACA
1423,LSr
1424,ACA
1425,ACA
1426,LSr
1427,LSr
1428,LSr
1429,MOs
1430,LSr
1431,MOs
1432,ACA
1433,LSr
1434,ACA
1435,LSr
1436,ACA
1437,ACA
1438,LSr
1439,MOs
1440,LSr
1441,ACA
1442,MOs
1443,LSr
1444,LSr
1445,LSr
1446,LSr
1447,LSr
1448,LSr
1449,ACA
1450,LSr
1451,ACA
1452,ACA
1453,LSr
1454,LSr
1455,MOs
1456,LSr
1457,LSr
1458,ACA
1459,LSr
1460,ACA
1461,ACA
1462,LSr
1463,LSr
1464,LSr
1465,LSr
1466,LSr
1467,LSr
1468,ACA
1469,LSr
1470,LSr
1471,LSr
1472,MOs
1473,ACA
1474,LSr
1475,ACA
1476,LSr
1477,ACA
1478,MOs
1479,LSr
1480,LSr
1481,MOs
1482,ACA
1483,ACA
1484,ACA
1485,LSr
1486,LSr
1487,LSr
1488,LSr
1489,LSr
1490,ACA
1491,ACA
1492,LSr
1493,MOs
1494,LSr
1495,LSr
1496,LSr
1497,ACA
1498,MOs
1499,LSr
1500,ACA
1501,ACA
1502,LSr
1503,ACA
1504,ACA
1505,ACA
1506,LSr
1507,LSr
1508,MOs
1509,LSr
1510,ACA
1511,LSr
1512,LSr
1513,MOs
1514,ACA
1515,ACA
1516,ACA
1517,LSr
1518,LSr
1519,ACA
1520,LSr
1521,LSr
1522,LSr
1523,ACA
1524,LSr
1525,MOs
1526,LSr
1527,LSr
1528,ACA
1529,MOs
1530,LSr
1531,ACA
1532,LSr
1533,ACA
1534,LSr
1535,ACA
1536,ACA
1537,MOs
1538,LSr
1539,LSr
1540,LSr
1541,LSr
1542,LSr
1543,LSr
1544,ACA
1545,ACA
1546,LSr
1547,LSr
1548,LSr
1549,MOs
1550,LSr
1551,LSr
1552,ACA
1553,LSr
1554,LSr
1555,ACA
1556,LSr
1557,ACA
1558,LSr
1559,LSr
1560,MOs
1561,ACA
1562,ACA
1563,LSr
1564,LSr
1565,LSr
1566,LSr
1567,MOs
1568,LSr
1569,LSr
1570,ACA
1571,ACA
1572,LSr
1573,LSr
1574,LSr
1575,MOs
1576,ACA
1577,MOs
1578,LSr
1579,LSr
1580,MOs
1581,LSr
1582,LSr
1583,MOs
1584,ACA
1585,ACA
1586,LSr
1587,LSr
1588,ACA
1589,LSr
1590,LSr
1591,ACA
1592,ACA
1593,LSr
1594,LSr
1595,ACA
1596,ACA
1597,LSr
1598,MOs
1599,LSr
1600,ACA
1601,LSr
1602,LSr
1603,ACA
1604,ACA
1605,LSr
1606,ACA
1607,LSr
1608,LSr
1609,LSr
1610,ACA
1611,LSr
1612,LSr
1613,ACA
1614,ACA
1615,ACA
1616,ACA
1617,MOs
1618,ACA
1619,MOs
1620,MOs
1621,MOs
1622,LSr
1623,ACA
1624,LSr
1625,LSr
1626,ACA
1627,LSr
1628,LSr
1629,LSr
1630,LSr
1631,LSr
1632,ACA
1633,ACA
1634,ACA
1635,ACA
1636,LSr
1637,LSr
1638,LSr
1639,LSr
1640,LSr
1641,LSr
1642,LSr
1643,ACA
1644,LSr
1645,ACA
1646,LSr
1647,LSr
1648,LSr
1649,ACA
1650,LSr
1651,LSr
1652,LSr
1653,ACA
1654,LSr
1655,LSr
1656,ACA
1657,MOs
1658,ACA
1659,ACA
1660,MOs
1661,ACA
1662,LSr
1663,ACA
1664,MOs
1665,LSr
1666,LSr
1667,LSr
1668,LSr
1669,LSr
1670,ACA
1671,LSr
1672,LSr
1673,LSr
1674,LSr
1675,ACA
1676,LSr
1677,LSr
1678,ACA
1679,ACA
1680,LSr
1681,ACA
1682,LSr
1683,MOs
1684,ACA
1685,LSr
1686,ACA
1687,ACA
1688,LSr
1689,LSr
1690,ACA
1691,ACA
1692,LSr
1693,LSr
1694,LSr
1695,LSr
1696,LSr
1697,LSr
1698,ACA
1699,ACA
1700,LSr
1701,LSr
1702,LSr
1703,ACA
1704,LSr
1705,LSr
1706,ACA
1707,ACA
1708,LSr
1709,ACA
1710,ACA
1711,ACA
1712,LSr
1713,ACA
1714,MOs
1715,ACA
1716,LSr
1717,LSr
1718,ACA
1719,LSr
1720,ACA
1721,LSr
1722,LSr
1723,LSr
1724,LSr
1725,LSr
1726,ACA
1727,ACA
1728,LSr
1729,LSr
1730,LSr
1731,ACA
1732,LSr
1733,LSr
1734,ACA
1735,LSr
1736,ACA
1737,MOs
1738,LSr
1739,ACA
1740,ACA
1741,ACA
1742,ACA
1743,LSr
1744,LSr
1745,LSr
1746,LSr
1747,LSr
1748,ACA
1749,ACA
1750,ACA
1751,LSr
1752,MOs
1753,LSr
1754,LSr
1755,ACA
1756,ACA
1757,LSr
1758,LSr
1759,LSr
1760,LSr
1761,ACA
1762,ACA
1763,MOs
1764,ACA
1765,LSr
1766,LSr
1767,MOs
1768,ACA
